time,delta_f,delta_f_COI,P_BESS,P_Wind,SoH,Shortfall
224,0.327753098128325,0.322791062424588,19.6667167089731,0.0224397891989659,0.799998687071201,-0.000454366475544532
225,0.327559858383508,0.322597764383181,19.6553932133218,0.0219876351111287,0.799998681605429,-0.000451511761113466
226,0.327368079975898,0.322405928107716,19.6441411840654,0.0215530625047325,0.799998676142795,-0.000448649427625014
227,0.327177751869917,0.322215542566129,19.6329607923752,0.0211352281592493,0.79999867068328,-0.000445781002600398
228,0.326988863117927,0.32202659681288,19.6218521723861,0.0207333309534082,0.799998665226863,-0.00044290792363455
229,0.326801402865107,0.32183907998436,19.6108154233609,0.0203466097508992,0.799998659773524,-0.000440031544211905
230,0.326615360332588,0.321652981298587,19.5998506117073,0.0199743412896655,0.799998654323243,-0.000437153140939728
231,0.326430724819921,0.321468290053145,19.5889577728222,0.0196158382889854,0.799998648876,-0.000434273917857553
232,0.326247485710235,0.321284995627985,19.5781369128538,0.0192704476159484,0.799998643431776,-0.000431395011180058
233,0.326065632463707,0.32110308748125,19.5673880103637,0.0189375485632585,0.799998637990549,-0.000428517493254787
234,0.325885154623989,0.320922555151015,19.5567110178956,0.0186165513205188,0.799998632552301,-0.000425642372867685
235,0.325706041806828,0.320743388253386,19.5461058634975,0.0183068953182056,0.799998627117012,-0.000422770601506528
236,0.325528283714521,0.320565576483045,19.5355724521302,0.0180080478290996,0.79999862168466,-0.000419903075140837
237,0.32535187011794,0.320389109611846,19.5251106670436,0.0177195025863625,0.799998616255227,-0.000417040635383614
238,0.325176790868026,0.320213977487882,19.5147203710577,0.0174407784036394,0.799998610828692,-0.000414184075189894
239,0.325003035896643,0.320040170037661,19.5044014077792,0.0171714179700305,0.799998605405036,-0.000411334139265307
240,0.324830595206932,0.319867677260643,19.4941536027636,0.0169109866366942,0.799998599984238,-0.000408491527220889
241,0.324659458873733,0.319696489233728,19.4839767646177,0.0166590712774419,0.799998594566279,-0.000405656895711815
242,0.324489617057294,0.31952659610649,19.4738706860401,0.0164152792084842,0.79999858915114,-0.000402830861549575
243,0.324321059977362,0.319357988103708,19.4638351448137,0.0161792372292133,0.799998583738801,-0.000400014000611293
244,0.324153777937991,0.319190655524859,19.4538699047381,0.0159505904889353,0.799998578329241,-0.000397206856241894
245,0.323987761317623,0.319024588739553,19.4439747165256,0.015729001774856,0.799998572922442,-0.000394409933448969
246,0.323823000556062,0.318859778192598,19.4341493186489,0.0155141504808054,0.799998567518385,-0.000391623705883859
247,0.323659486176847,0.318696214398184,19.4243934381266,0.0153057318162898,0.799998562117049,-0.000388848616495352
248,0.323497208766116,0.318533887943573,19.4147067913005,0.0151034560576048,0.799998556718415,-0.000386085077206388
249,0.32333615898088,0.318372789485594,19.4050890845321,0.0149070477170586,0.799998551322465,-0.000383333473571668
250,0.323176327563085,0.318212909753135,19.3955400148984,0.0147162449046489,0.79999854592918,-0.000380594163907233
251,0.323017705295731,0.318054239543097,19.3860592708624,0.0145307986344717,0.799998540538539,-0.000377867479492977
252,0.322860283064036,0.317896769721782,19.3766465328305,0.014350472060703,0.799998535150524,-0.000375153733013889
253,0.322704051800143,0.31774049122536,19.3673014737672,0.0141750401278944,0.799998529765117,-0.000372453207962309
254,0.322549002510025,0.317585395057451,19.358023759762,0.0140042886965124,0.799998524382298,-0.000369766171150587
255,0.322395126265462,0.317431472288321,19.348813050508,0.0138380142007016,0.79999851900205,-0.000367092866589758
